dataset_id	dataset	cluster_id	cell_type
1	Axillary lymph nodes	0	Endothelial cells
1	Axillary lymph nodes	1	Endothelial cells
1	Axillary lymph nodes	2	Endothelial cells
1	Axillary lymph nodes	3	Endothelial cells
1	Axillary lymph nodes	4	Endothelial cells
1	Axillary lymph nodes	5	Endothelial cells
1	Axillary lymph nodes	6	Endothelial cells
1	Axillary lymph nodes	7	Endothelial cells
1	Axillary lymph nodes	8	Endothelial cells
1	Axillary lymph nodes	9	Endothelial cells
1	Axillary lymph nodes	10	Endothelial cells
1	Axillary lymph nodes	11	Endothelial cells
1	Axillary lymph nodes	12	B cells
1	Axillary lymph nodes	13	Endothelial cells
2	Breast	0	Luminal 2
2	Breast	1	Basal
2	Breast	2	Basal
2	Breast	3	Luminal 2
2	Breast	4	Luminal 1
2	Breast	5	Basal
2	Breast	6	Luminal 1
2	Breast	7	Basal
2	Breast	8	Luminal 1
2	Breast	9	Luminal 2
2	Breast	10	Luminal 2
2	Breast	11	Luminal 1
2	Breast	12	Luminal 2
2	Breast	13	Luminal 2
2	Breast	14	Basal
2	Breast	15	Luminal 2
2	Breast	16	Luminal 1
2	Breast	17	Luminal 2
3	Colon	0	Progenitor cells
3	Colon	1	stem cells
3	Colon	2	Progenitor cells
3	Colon	3	Goblet
3	Colon	4	Enterocytes
3	Colon	5	Progenitor cells
3	Colon	6	Goblet
3	Colon	7	Transient amplifying cells
3	Colon	8	Paneth cells
3	Colon	9	Paneth cells
3	Colon	10	Paneth cells
4	Colon 2	0	Goblet
4	Colon 2	1	Progenitor cells
4	Colon 2	2	Progenitor cells
4	Colon 2	3	Paneth cells
4	Colon 2	4	T cells
4	Colon 2	5	Enterocytes
4	Colon 2	6	Enterocytes
4	Colon 2	7	Enterocytes
4	Colon 2	8	Paneth cells
4	Colon 2	9	Enterocytes
4	Colon 2	10	Enterocytes
4	Colon 2	11	Paneth cells
4	Colon 2	12	B cells
4	Colon 2	13	T cells
4	Colon 2	14	Epithelial cells
4	Colon 2	15	NA
5	Eyes	0	Rods
5	Eyes	1	Rods
5	Eyes	2	Muller
5	Eyes	3	Horizontal
5	Eyes	4	Bipolar
5	Eyes	5	Muller
5	Eyes	6	Muller
5	Eyes	7	Bipolar
5	Eyes	8	Retinal ganglion cells
5	Eyes	9	Cones
5	Eyes	10	Horizontal
5	Eyes	11	Muller
6	Eyes macula	0	T cells
6	Eyes macula	1	Retinal pigment Epithelial cells
6	Eyes macula	2	Retinal pigment Epithelial cells
6	Eyes macula	3	Retinal pigment Epithelial cells
6	Eyes macula	4	Retinal pigment Epithelial cells
6	Eyes macula	5	Retinal pigment Epithelial cells
6	Eyes macula	6	Retinal pigment Epithelial cells
6	Eyes macula	7	Muller
6	Eyes macula	8	Monocytes
6	Eyes macula	9	Bipolar
6	Eyes macula	10	Myeloid
6	Eyes macula	11	Retinal pigment Epithelial cells
6	Eyes macula	12	Myeloid
7	Eyes peripheral	0	Amacrine
7	Eyes peripheral	1	Muller
7	Eyes peripheral	2	Muller
7	Eyes peripheral	3	Retinal pigment Epithelial cells
7	Eyes peripheral	4	T cells
7	Eyes peripheral	5	Muller
7	Eyes peripheral	6	Retinal pigment Epithelial cells
7	Eyes peripheral	7	Muller
7	Eyes peripheral	8	Muller
7	Eyes peripheral	9	Muller
7	Eyes peripheral	10	Muller
7	Eyes peripheral	11	Muller
8	Head and neck lymph nodes	0	Endothelial cells
8	Head and neck lymph nodes	1	Endothelial cells
8	Head and neck lymph nodes	2	Endothelial cells
8	Head and neck lymph nodes	3	Endothelial cells
8	Head and neck lymph nodes	4	Endothelial cells
8	Head and neck lymph nodes	5	Endothelial cells
8	Head and neck lymph nodes	6	Endothelial cells
8	Head and neck lymph nodes	7	Endothelial cells
8	Head and neck lymph nodes	8	Endothelial cells
8	Head and neck lymph nodes	9	Endothelial cells
8	Head and neck lymph nodes	10	Endothelial cells
8	Head and neck lymph nodes	11	Endothelial cells
9	Heart	0	Ventricular Cardiomyocyte
9	Heart	1	Ventricular Cardiomyocyte
9	Heart	2	Ventricular Cardiomyocyte
9	Heart	3	Endothelial cells
9	Heart	4	Macrophages
9	Heart	5	Endothelial cells
9	Heart	6	Smooth muscle cells
9	Heart	7	Fibroblastss
9	Heart	8	Fibroblastss
9	Heart	9	Atrial Cardiomyocyte
10	Ileum	0	Epithelial cells
10	Ileum	1	Epithelial cells
10	Ileum	2	Epithelial cells
10	Ileum	3	Epithelial cells
10	Ileum	4	Epithelial cells
10	Ileum	5	Epithelial cells
10	Ileum	6	Epithelial cells
10	Ileum	7	Epithelial cells
10	Ileum	8	Epithelial cells
10	Ileum	9	Epithelial cells
10	Ileum	10	Epithelial cells
10	Ileum	11	Epithelial cells
11	Kidney	0	Proximal tubule
11	Kidney	1	Vascular
11	Kidney	2	Proximal tubule
11	Kidney	3	Proximal tubule
11	Kidney	4	Glomerular parietal Epithelial cells
11	Kidney	5	Proximal tubule
11	Kidney	6	Proximal tubule
11	Kidney	7	T cells
11	Kidney	8	Monocytes
11	Kidney	9	Glomerular parietal Epithelial cells
11	Kidney	10	Glomerular parietal Epithelial cells
11	Kidney	11	B cells
12	Liver	0	T cells
12	Liver	1	Hepatocytes
12	Liver	2	Monocytes
12	Liver	3	Endothelial cells
12	Liver	4	Hepatocytes
12	Liver	5	Hepatocytes
12	Liver	6	Hepatocytes
12	Liver	7	B cells
12	Liver	8	NK cells
12	Liver	9	Hepatocytes
12	Liver	10	Monocytes
12	Liver	11	NK cells
12	Liver	12	Hepatocytes
12	Liver	13	Endothelial cells
12	Liver	14	T cells
12	Liver	15	Epithelial cells
12	Liver	16	NK cells
12	Liver	17	?
13	Liver hep- CD45-	0	Stellate cells
13	Liver hep- CD45-	1	T cells
13	Liver hep- CD45-	2	Macrophages
13	Liver hep- CD45-	3	T cells
13	Liver hep- CD45-	4	Dendritic cells
13	Liver hep- CD45-	5	Hepatocytes
13	Liver hep- CD45-	6	Endothelial cells
13	Liver hep- CD45-	7	NK cells
13	Liver hep- CD45-	8	NK cells
13	Liver hep- CD45-	9	Endothelial cells
